order_id,merchant_id,customer_name,customer_address,area,city,pincode,latitude,longitude,sku,quantity,order_value,payment_type,order_date,order_status
ORD000015,M001,Shalini Pillai,"Apartment 72, 4thth Main, Ulsoor, Bangalore",Ulsoor,Bangalore,560008,12.981328,77.627187,DRESS_RED_M,2,1289.97,PREPAID,2026-05-03,confirmed
ORD000016,M001,Suma Roy,"#19, 5thth Cross, Malleshwaram, Bangalore",Malleshwaram,Bangalore,560003,13.007021,77.567796,SPORTS_TSHIRT_RED_M,1,3104.05,PREPAID,2026-05-16,confirmed
ORD000017,M001,Manish Malhotra,"Flat 204, 6th Main, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.841686,77.659125,WOMEN_TOP_PINK_M,3,1808.5,PREPAID,2026-05-01,pending
ORD000018,M001,Nisha Ghosh,"No. 248, 1st Stage, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.84868,77.663265,SNEAKERS_GREY_9,3,2506.99,COD,2026-05-08,pending
ORD000019,M001,Girish Babu,"233, 1st Block, Vijayanagar, Bangalore",Vijayanagar,Bangalore,560040,12.969217,77.533244,HOODIE_GREY_M,1,2829.48,PREPAID,2026-05-11,pending
ORD000020,M001,Gayatri Babu,"Villa 301, 2nd Cross Road, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.971384,77.718236,HOODIE_NAVY_L,3,1281.32,COD,2026-05-09,cancelled
ORD000021,M001,Shalini Sharma,"No. 226, 2nd Stage, Old Airport Road, Bangalore",Old Airport Road,Bangalore,560017,12.962072,77.667164,KURTA_COTTON_M,2,2668.5,PREPAID,2026-05-03,pending
ORD000022,M001,Swati Menon,"Plot 170, 2nd Main Road, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.910008,77.644502,SHOES_WHITE_8,2,4175.3,PREPAID,2026-05-16,cancelled
ORD000023,M001,Divya Chowdhury,"House 294, 3rd Cross, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.913108,77.649473,BAG_LEATHER_BROWN,1,3164.56,COD,2026-05-06,pending
ORD000024,M001,Saranya Banerjee,"Apartment 44, 4thth Main, KR Puram, Bangalore",KR Puram,Bangalore,560036,13.004,77.700482,SNEAKERS_GREY_8,3,4452.29,PREPAID,2026-05-16,pending
ORD000025,M001,Riya Dey,"Apartment 86, 6thth Main, Ulsoor, Bangalore",Ulsoor,Bangalore,560008,12.978406,77.631904,SNEAKERS_GREY_8,1,4191.04,PREPAID,2026-05-03,processing
ORD000026,M001,Varun Joshi,"Flat 91, 8th Main, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.957955,77.693486,SHOES_BLACK_8,3,2768.62,PREPAID,2026-05-02,pending
ORD000027,M001,Hemant Sharma,"Plot 268, 7th Main Road, Ulsoor, Bangalore",Ulsoor,Bangalore,560008,12.982014,77.631124,JEANS_BLUE_30,2,4557.93,PREPAID,2026-05-02,processing
ORD000028,M001,Hema Chatterjee,"Flat 218, 3rd Main, Yelahanka, Bangalore",Yelahanka,Bangalore,560064,13.09999,77.600684,SUNGLASSES_BLACK,2,4119.79,PREPAID,2026-05-16,pending
ORD000029,M001,Bhavana Tiwari,"House 296, 2nd Cross, Peenya, Bangalore",Peenya,Bangalore,560058,13.032601,77.515538,SNEAKERS_GREY_8,3,1349.59,PREPAID,2026-05-01,pending
ORD000030,M001,Sunil Chopra,"Plot 290, 6th Main Road, Old Airport Road, Bangalore",Old Airport Road,Bangalore,560017,12.955054,77.670043,BAG_LEATHER_BROWN,2,3133.17,COD,2026-05-09,pending
ORD000031,M001,Kavita Saxena,"Apartment 158, 6thth Main, Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,560035,12.907075,77.679537,FORMAL_SHIRT_BLUE_L,3,2164.96,PREPAID,2026-05-13,pending
ORD000032,M001,Meera Reddy,"#261, 7thth Cross, Malleshwaram, Bangalore",Malleshwaram,Bangalore,560003,13.00665,77.565893,BACKPACK_GREY,1,3645.9,PREPAID,2026-05-02,processing
ORD000033,M001,Nikhil Nair,"Apartment 114, 6thth Main, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.963746,77.692453,JEANS_BLUE_30,1,3200.1,PREPAID,2026-05-02,pending
ORD000034,M001,Nirmala Mehta,"225, 2nd Block, Malleshwaram, Bangalore",Malleshwaram,Bangalore,560003,13.007407,77.563306,SPORTS_TSHIRT_RED_L,3,757.58,COD,2026-05-10,pending
ORD000035,M001,Girish Krishnan,"House 81, 2nd Cross, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.96194,77.697505,WALLET_BROWN,1,3532.11,PREPAID,2026-05-13,confirmed
ORD000036,M001,Nikhil Bose,"Apartment 287, 6thth Main, Domlur, Bangalore",Domlur,Bangalore,560071,12.959851,77.639561,JACKET_DENIM_L,1,807.78,PREPAID,2026-05-09,pending
ORD000037,M001,Kavita Nair,"Apartment 175, 2ndth Main, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.963731,77.696948,SAREE_COTTON_BLUE,3,2777.07,COD,2026-05-09,pending
ORD000038,M001,Suma Krishnan,"Villa 235, 8th Cross Road, Ulsoor, Bangalore",Ulsoor,Bangalore,560008,12.984831,77.629349,WALLET_BROWN,2,3033.26,PREPAID,2026-05-01,pending
ORD000039,M001,Akash Pai,"House 135, 4th Cross, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.909778,77.646827,HOODIE_GREY_M,3,4099.73,PREPAID,2026-05-03,pending
ORD000040,M001,Usha Naik,"No. 350, A Stage, Koramangala, Bangalore",Koramangala,Bangalore,560034,12.937688,77.62292,FORMAL_SHIRT_BLUE_L,1,2089.92,PREPAID,2026-05-07,pending
ORD000041,M001,Ashok Joshi,"Flat 62, 2nd Main, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.956521,77.695054,HOODIE_GREY_M,1,4262.51,PREPAID,2026-05-16,pending
ORD000042,M001,Usha Naik,"94, A Block, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.847842,77.660615,TSHIRT_WHITE_M,2,1918.38,PREPAID,2026-05-08,pending
ORD000043,M001,Santosh Murthy,"No. 235, C Stage, Vijayanagar, Bangalore",Vijayanagar,Bangalore,560040,12.968182,77.535857,BAG_CANVAS_BLACK,2,645.53,PREPAID,2026-05-15,processing
ORD000044,M001,Riya Bose,"Apartment 122, 5thth Main, Indiranagar, Bangalore",Indiranagar,Bangalore,560038,12.973484,77.642541,SAREE_SILK_RED,3,4377.29,COD,2026-05-11,confirmed
ORD000045,M001,Tushar Mehta,"No. 295, 1st Stage, Old Airport Road, Bangalore",Old Airport Road,Bangalore,560017,12.957988,77.664105,WALLET_BROWN,2,2301.67,PREPAID,2026-05-09,pending
ORD000046,M001,Neeraj Sharma,"No. 216, 2nd Stage, Kengeri, Bangalore",Kengeri,Bangalore,560060,12.908653,77.490663,SHOES_BLACK_8,1,3822.44,PREPAID,2026-05-11,pending
ORD000047,M001,Krishna Iyer,"Apartment 244, 2ndth Main, Banashankari, Bangalore",Banashankari,Bangalore,560085,12.9235,77.547421,FORMAL_TROUSER_BLACK_32,1,3606.44,PREPAID,2026-05-11,pending
ORD000048,M001,Shalini Rao,"No. 146, 3rd Stage, KR Puram, Bangalore",KR Puram,Bangalore,560036,13.005803,77.696475,HOODIE_NAVY_M,2,4402.16,COD,2026-05-16,confirmed
ORD000049,M001,Kavya Chowdhury,"Villa 216, 7th Cross Road, Peenya, Bangalore",Peenya,Bangalore,560058,13.027969,77.515484,SNEAKERS_GREY_9,2,4803.67,PREPAID,2026-05-03,pending
ORD000050,M001,Gaurav Chauhan,"Villa 301, 8th Cross Road, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.956382,77.695569,DRESS_RED_S,3,1719.62,COD,2026-05-06,pending
ORD000051,M001,Karan Iyer,"No. 204, 1st Stage, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.954331,77.699678,TRACKPANTS_BLACK_M,2,3652.14,PREPAID,2026-05-03,pending
ORD000052,M001,Amit Gowda,"No. 44, 3rd Stage, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.935532,77.673938,WOMEN_TOP_PINK_M,2,4981.06,PREPAID,2026-05-08,confirmed
ORD000053,M001,Swati Pai,"Villa 244, 8th Cross Road, KR Puram, Bangalore",KR Puram,Bangalore,560036,13.005042,77.697165,JEANS_BLACK_32,3,627.57,PREPAID,2026-05-09,pending
ORD000054,M001,Sowmya Chowdhury,"Plot 269, 5th Main Road, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.908551,77.652485,FORMAL_SHIRT_BLUE_M,1,2553.45,PREPAID,2026-05-16,pending
ORD000055,M001,Hema Singh,"Villa 147, 8th Cross Road, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.915247,77.647419,KURTA_COTTON_L,2,499.42,COD,2026-05-01,pending
ORD000056,M001,Radha Menon,"House 281, 6th Cross, Hebbal, Bangalore",Hebbal,Bangalore,560024,13.035719,77.599555,DRESS_RED_M,1,4089.84,PREPAID,2026-05-14,pending
ORD000057,M001,Rekha Gowda,"Flat 217, 4th Main, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.935171,77.675899,BELT_BLACK,3,4226.92,PREPAID,2026-05-09,pending
ORD000058,M001,Ganesh Kumar,"317, 3rd Block, Indiranagar, Bangalore",Indiranagar,Bangalore,560038,12.980829,77.643888,BAG_LEATHER_BROWN,1,1319.83,PREPAID,2026-05-16,processing
ORD000059,M001,Archana Pandey,"House 120, 2nd Cross, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.954294,77.692896,FORMAL_SHIRT_BLUE_M,1,1710.38,COD,2026-05-01,pending
ORD000060,M001,Mahesh Pillai,"No. 29, A Stage, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.910619,77.646116,CAP_NAVY,2,4060.41,PREPAID,2026-05-03,pending
ORD000061,M001,Suma Dubey,"#198, 8thth Cross, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.909016,77.651957,HOODIE_NAVY_M,2,1047.83,PREPAID,2026-05-02,pending
ORD000062,M001,Dinesh Bhat,"No. 323, C Stage, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.961453,77.69334,TRACKPANTS_BLACK_M,1,3565.49,PREPAID,2026-05-04,cancelled
ORD000063,M001,Shiva Sharma,"No. 142, A Stage, KR Puram, Bangalore",KR Puram,Bangalore,560036,13.008585,77.692887,TSHIRT_WHITE_L,3,3347.09,COD,2026-05-08,processing
ORD000064,M001,Nikhil Krishnan,"No. 256, C Stage, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.96522,77.752835,SUNGLASSES_BLACK,3,2170.29,PREPAID,2026-05-11,confirmed
ORD000065,M001,Amit Singh,"120, B Block, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.94077,77.679651,TSHIRT_WHITE_L,2,3654.98,PREPAID,2026-05-12,processing
ORD000066,M001,Sai Agarwal,"287, B Block, Kengeri, Bangalore",Kengeri,Bangalore,560060,12.907487,77.48403,WALLET_BROWN,2,1105.29,PREPAID,2026-05-16,pending
ORD000067,M001,Anita Gupta,"Flat 272, 3rd Main, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.955966,77.695877,PERFUME_100ML,2,4614.13,COD,2026-05-10,confirmed
ORD000068,M001,Aditya Dey,"Villa 318, 4th Cross Road, Basavanagudi, Bangalore",Basavanagudi,Bangalore,560004,12.942516,77.574941,WOMEN_TOP_PINK_M,3,3800.46,PREPAID,2026-05-03,processing
ORD000069,M001,Asha Hegde,"Villa 210, 6th Cross Road, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.84559,77.659075,JACKET_DENIM_L,3,2980.61,PREPAID,2026-05-04,pending
ORD000070,M001,Vishal Rao,"Flat 17, 7th Main, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.907867,77.651352,JEANS_BLACK_32,1,1408.36,PREPAID,2026-05-16,pending
ORD000071,M001,Lakshmi Biswas,"41, C Block, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.914213,77.645559,KURTA_COTTON_L,1,817.93,PREPAID,2026-05-02,pending
ORD000072,M001,Saranya Nair,"Apartment 40, 4thth Main, Old Airport Road, Bangalore",Old Airport Road,Bangalore,560017,12.960435,77.670904,KURTA_COTTON_L,3,2879.59,COD,2026-05-04,pending
ORD000073,M001,Nisha Bose,"Plot 55, 6th Main Road, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.96401,77.715753,SHOES_BLACK_8,3,3064.12,PREPAID,2026-05-15,processing
ORD000074,M001,Meera Chopra,"181, B Block, Yelahanka, Bangalore",Yelahanka,Bangalore,560064,13.099971,77.592341,SHOES_WHITE_9,3,2017.81,PREPAID,2026-05-11,pending
ORD000075,M001,Sunita Babu,"Apartment 185, 8thth Main, Ulsoor, Bangalore",Ulsoor,Bangalore,560008,12.980823,77.629932,PERFUME_100ML,2,3033.15,PREPAID,2026-05-13,pending
ORD000076,M001,Rekha Iyer,"Villa 12, 5th Cross Road, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.965147,77.747845,TSHIRT_BLACK_L,3,528.56,COD,2026-05-05,processing
ORD000077,M001,Vijay Shetty,"Flat 293, 7th Main, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.966304,77.713461,HOODIE_NAVY_M,2,1623.36,PREPAID,2026-05-07,processing
ORD000078,M001,Usha Reddy,"Apartment 20, 7thth Main, Malleshwaram, Bangalore",Malleshwaram,Bangalore,560003,13.005336,77.567229,SHOES_WHITE_9,2,3602.18,PREPAID,2026-05-02,processing
ORD000079,M001,Suma Menon,"House 325, 7th Cross, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.934144,77.682198,BAG_CANVAS_BLACK,2,1041.43,PREPAID,2026-05-10,confirmed
ORD000080,M001,Sunanda Tripathi,"Plot 229, 2nd Main Road, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.910393,77.648649,DRESS_BLUE_S,3,1188.39,PREPAID,2026-05-14,pending
ORD000081,M001,Yash Gowda,"Flat 205, 7th Main, Indiranagar, Bangalore",Indiranagar,Bangalore,560038,12.977343,77.637122,JEANS_BLUE_30,2,720.9,PREPAID,2026-05-05,pending
ORD000082,M001,Keerthi Kapoor,"#125, 2ndth Cross, Vijayanagar, Bangalore",Vijayanagar,Bangalore,560040,12.971709,77.532581,SAREE_COTTON_BLUE,3,3024.25,PREPAID,2026-05-14,pending
ORD000083,M001,Shiva Pai,"House 157, 3rd Cross, Domlur, Bangalore",Domlur,Bangalore,560071,12.965141,77.634596,TRACKPANTS_BLACK_M,2,2066.39,PREPAID,2026-05-15,pending
ORD000084,M001,Saranya Pillai,"Flat 28, 4th Main, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.844605,77.664442,HOODIE_GREY_M,1,1200.96,PREPAID,2026-05-05,cancelled
ORD000085,M001,Keerthi Chopra,"#105, 5thth Cross, Ulsoor, Bangalore",Ulsoor,Bangalore,560008,12.984901,77.623737,WALLET_BROWN,1,1992.45,COD,2026-05-16,pending
ORD000086,M001,Anil Patel,"Apartment 88, 1stth Main, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.850123,77.662151,TRACKPANTS_BLACK_M,1,4576.18,PREPAID,2026-05-07,pending
ORD000087,M001,Swati Nayak,"Flat 10, 5th Main, Banashankari, Bangalore",Banashankari,Bangalore,560085,12.92668,77.542331,SPORTS_TSHIRT_RED_L,1,3482.42,COD,2026-05-13,pending
ORD000088,M001,Nikhil Mehta,"#257, 8thth Cross, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.957907,77.702166,JEANS_BLUE_32,2,3185.98,PREPAID,2026-05-01,pending
ORD000089,M001,Shobha Pai,"Villa 321, 5th Cross Road, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.974023,77.748049,CAP_NAVY,2,581.68,PREPAID,2026-05-09,processing
ORD000090,M001,Venkat Murthy,"No. 45, B Stage, Kengeri, Bangalore",Kengeri,Bangalore,560060,12.909358,77.490887,TSHIRT_BLACK_L,3,1514.12,PREPAID,2026-05-08,pending
ORD000091,M001,Divya Roy,"#71, 5thth Cross, Koramangala, Bangalore",Koramangala,Bangalore,560034,12.935929,77.623765,DRESS_RED_M,3,1429.41,COD,2026-05-05,pending
ORD000092,M001,Kavita Chopra,"Flat 95, 6th Main, Koramangala, Bangalore",Koramangala,Bangalore,560034,12.93929,77.6272,SPORTS_TSHIRT_RED_L,3,1927.73,PREPAID,2026-05-01,pending
ORD000093,M001,Seema Tiwari,"Apartment 78, 4thth Main, Peenya, Bangalore",Peenya,Bangalore,560058,13.032301,77.51884,BAG_LEATHER_BROWN,2,4700.96,PREPAID,2026-05-05,pending
ORD000094,M001,Geeta Menon,"House 184, 2nd Cross, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.961724,77.69852,HOODIE_NAVY_L,3,1538.1,PREPAID,2026-05-16,pending
ORD000095,M001,Meera Rao,"#17, 7thth Cross, Mahadevapura, Bangalore",Mahadevapura,Bangalore,560048,12.995061,77.687388,SPORTS_TSHIRT_RED_L,2,2631.31,COD,2026-05-09,pending
ORD000096,M001,Asha Agarwal,"Villa 235, 4th Cross Road, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.933026,77.680113,SHOES_BLACK_8,1,4934.32,COD,2026-05-13,pending
ORD000097,M001,Usha Sen,"House 267, 2nd Cross, Peenya, Bangalore",Peenya,Bangalore,560058,13.029579,77.522943,PERFUME_100ML,2,4725.13,PREPAID,2026-05-15,pending
ORD000098,M001,Kavita Babu,"House 98, 5th Cross, Basavanagudi, Bangalore",Basavanagudi,Bangalore,560004,12.937524,77.580358,JACKET_DENIM_L,3,3807.27,PREPAID,2026-05-13,pending
ORD000099,M001,Pooja Mishra,"47, 2nd Block, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.938537,77.676259,SHOES_WHITE_8,2,3603.79,COD,2026-05-05,pending
ORD000100,M001,Rohit Pillai,"Apartment 166, 3rdth Main, Old Airport Road, Bangalore",Old Airport Road,Bangalore,560017,12.956235,77.662249,WATCH_SPORT_SILVER,3,4530.08,PREPAID,2026-05-04,pending
ORD000101,M001,Vikram Dey,"No. 194, 1st Stage, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.968762,77.718241,JEANS_BLUE_30,3,3769.93,PREPAID,2026-05-06,pending
ORD000102,M001,Archana Shah,"Plot 158, 5th Main Road, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.936455,77.679995,JEANS_BLACK_34,1,1303.9,PREPAID,2026-05-15,confirmed
ORD000103,M001,Rohit Agarwal,"279, B Block, Indiranagar, Bangalore",Indiranagar,Bangalore,560038,12.975207,77.644785,SHOES_BLACK_8,1,1638.0,PREPAID,2026-05-16,pending
ORD000104,M001,Anita Naik,"#26, 3rdth Cross, KR Puram, Bangalore",KR Puram,Bangalore,560036,13.008089,77.695657,BAG_LEATHER_BROWN,2,1600.21,COD,2026-05-02,confirmed
ORD000105,M001,Nikhil Shah,"Flat 214, 3rd Main, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.840567,77.663738,TRACKPANTS_BLACK_M,3,1841.99,PREPAID,2026-05-10,pending
ORD000106,M001,Girish Patel,"Flat 154, 6th Main, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.847115,77.66115,FORMAL_SHIRT_BLUE_L,1,3871.01,PREPAID,2026-05-13,pending
ORD000107,M001,Ravi Kamath,"Plot 269, 4th Main Road, Basavanagudi, Bangalore",Basavanagudi,Bangalore,560004,12.944684,77.578833,TSHIRT_NAVY_M,2,1048.1,PREPAID,2026-05-07,pending
ORD000108,M001,Sarala Sen,"Apartment 219, 6thth Main, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.841293,77.662497,SPORTS_TSHIRT_RED_M,3,2675.48,PREPAID,2026-05-12,processing
ORD000109,M001,Asha Menon,"Apartment 100, 1stth Main, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.936943,77.678364,PERFUME_100ML,3,4134.91,PREPAID,2026-05-01,confirmed
ORD000110,M001,Mahesh Pai,"#6, 4thth Cross, Koramangala, Bangalore",Koramangala,Bangalore,560034,12.938167,77.626875,SHOES_BLACK_9,3,2362.19,PREPAID,2026-05-10,cancelled
ORD000111,M001,Mahesh Kamath,"Plot 292, 1st Main Road, KR Puram, Bangalore",KR Puram,Bangalore,560036,13.002878,77.693903,FORMAL_SHIRT_BLUE_L,2,1011.27,PREPAID,2026-05-07,processing
ORD000112,M001,Madhuri Mishra,"Villa 237, 7th Cross Road, Domlur, Bangalore",Domlur,Bangalore,560071,12.959279,77.640425,SUNGLASSES_BLACK,1,2665.73,PREPAID,2026-05-02,pending
ORD000113,M001,Shobha Kamath,"Villa 34, 3rd Cross Road, MG Road, Bangalore",MG Road,Bangalore,560001,12.973593,77.60915,DRESS_BLUE_S,3,1436.18,PREPAID,2026-05-01,pending
ORD000114,M001,Suresh Yadav,"Apartment 162, 1stth Main, Domlur, Bangalore",Domlur,Bangalore,560071,12.959652,77.639043,SHOES_WHITE_8,3,1342.21,PREPAID,2026-05-14,pending
ORD000115,M001,Naveen Patel,"#48, 8thth Cross, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.97047,77.715616,DRESS_RED_M,1,1286.56,PREPAID,2026-05-01,pending
ORD000116,M001,Nirmala Bhat,"No. 51, 2nd Stage, RR Nagar, Bangalore",RR Nagar,Bangalore,560098,12.91895,77.517141,DRESS_BLUE_M,2,2855.33,PREPAID,2026-05-02,pending
ORD000117,M001,Radha Pillai,"Villa 240, 1st Cross Road, Koramangala, Bangalore",Koramangala,Bangalore,560034,12.937337,77.624723,TSHIRT_BLACK_M,2,3590.74,PREPAID,2026-05-10,pending
ORD000118,M001,Suma Pandey,"Flat 140, 3rd Main, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.972385,77.751389,SHOES_BLACK_9,2,2894.24,COD,2026-05-09,pending
ORD000119,M001,Mohan Joshi,"Apartment 294, 4thth Main, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.971283,77.717496,JEANS_BLUE_32,1,2971.15,PREPAID,2026-05-03,pending
ORD000120,M001,Sachin Shah,"Flat 219, 7th Main, Indiranagar, Bangalore",Indiranagar,Bangalore,560038,12.982322,77.641206,TSHIRT_WHITE_L,1,726.05,COD,2026-05-15,confirmed
ORD000121,M001,Vidya Yadav,"291, 1st Block, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.843324,77.663374,BELT_BLACK,3,852.46,PREPAID,2026-05-15,confirmed
ORD000122,M001,Pooja Dey,"Apartment 187, 7thth Main, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.964804,77.718344,WOMEN_TOP_PINK_M,2,4762.52,PREPAID,2026-05-11,confirmed
ORD000123,M001,Manish Gupta,"Apartment 179, 3rdth Main, Banashankari, Bangalore",Banashankari,Bangalore,560085,12.929324,77.546333,TSHIRT_BLACK_L,1,2080.48,PREPAID,2026-05-04,pending
ORD000124,M001,Padma Prasad,"#318, 4thth Cross, Koramangala, Bangalore",Koramangala,Bangalore,560034,12.937343,77.62057,FORMAL_SHIRT_BLUE_L,3,2573.39,COD,2026-05-06,pending
ORD000125,M001,Smita Kamath,"#89, 2ndth Cross, Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,560035,12.906938,77.680907,WALLET_BROWN,3,4909.92,PREPAID,2026-05-16,pending
ORD000126,M001,Amit Mukherjee,"Plot 168, 8th Main Road, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.967661,77.715154,JEANS_BLUE_32,2,812.23,COD,2026-05-02,confirmed
ORD000127,M001,Swati Joshi,"273, A Block, Brookefield, Bangalore",Brookefield,Bangalore,560037,12.96987,77.720773,WOMEN_TOP_PINK_S,3,3905.85,PREPAID,2026-05-15,pending
ORD000128,M001,Santosh Pillai,"House 314, 7th Cross, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.960915,77.695566,FORMAL_TROUSER_BLACK_32,3,2455.27,COD,2026-05-10,pending
ORD000129,M001,Suresh Hegde,"House 121, 7th Cross, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.973811,77.754679,TSHIRT_BLACK_M,3,4903.13,PREPAID,2026-05-13,pending
ORD000130,M001,Kavita Babu,"Villa 214, 3rd Cross Road, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.847318,77.65926,BAG_CANVAS_BLACK,3,1124.81,COD,2026-05-05,processing
ORD000131,M001,Divya Pillai,"No. 329, A Stage, Mahadevapura, Bangalore",Mahadevapura,Bangalore,560048,12.987317,77.682857,PERFUME_100ML,2,4886.39,PREPAID,2026-05-14,pending
ORD000132,M001,Shalini Sharma,"122, A Block, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.844744,77.659441,WATCH_CLASSIC_BLACK,2,1335.06,PREPAID,2026-05-12,pending
